scheme_id,scheme_name,short_title,level,scheme_for,ministry,state,category,tags,description,close_date,priority,search_text
post-dis,Post Matric Scholarship Students With Disabilities,POST-DIS,Central,Individual,Ministry Of Social Justice and Empowerment,All,Education & Learning;Social welfare & Empowerment,Persons With Disability;Post-Matric;Student;Scholarship;Diploma;Degree;Graduation;Post-Graduation,"A scholarship scheme by DoEPwD for students with disabilities pursuing a post-matric qualification from UGC/AICTE recognized universities, i.e. students of Class 11th, Class 12th, including Polytechnics, Post-Matriculation Diploma/Certificates and Bachelor’s/Master’s Degree/Diploma in India.",,1.0,"Post Matric Scholarship Students With Disabilities. A scholarship scheme by DoEPwD for students with disabilities pursuing a post-matric qualification from UGC/AICTE recognized universities, i.e. students of Class 11th, Class 12th, including Polytechnics, Post-Matriculation Diploma/Certificates and Bachelor’s/Master’s Degree/Diploma in India. Category: Education & Learning, Social welfare & Empowerment. Tags: Persons With Disability, Post-Matric, Student, Scholarship, Diploma, Degree, Graduation, Post-Graduation."
sl,Skill Loan Scheme,SL,Central,Individual,Ministry Of Skill Development And Entrepreneurship,All,"Skills & Employment;Banking,Financial Services and Insurance",Skill Development;Student;Industrial Training Institutes (ITIs);Polytechnics,"A Skill loan scheme by Ministry of Skill Development and Entrepreneurship to provide loan upto Rs. 1,50,000 to student who has secured admission in a course run by Industrial Training Institutes (ITIs), Polytechnics or in a school recognized by Central or State education Boards or in a college affil",,1.0,"Skill Loan Scheme. A Skill loan scheme by Ministry of Skill Development and Entrepreneurship to provide loan upto Rs. 1,50,000 to student who has secured admission in a course run by Industrial Training Institutes (ITIs), Polytechnics or in a school recognized by Central or State education Boards or in a college affil Category: Skills & Employment, Banking,Financial Services and Insurance. Tags: Skill Development, Student, Industrial Training Institutes (ITIs), Polytechnics."
nos-swd,National Overseas Scholarship For Students With Disabilities,NOS-SWD,Central,Individual,Ministry Of Social Justice and Empowerment,All,Education & Learning;Social welfare & Empowerment,Scholarship;Student;Person With Disability;Higher Education;Degree;Empowerment;PhD;Post-Graduation,"A scholarship scheme by the Ministry of Social Justice & Empowerment for regular, full-time students with disabilities to obtain higher education viz., Master's degree, or Ph.D. courses from foreign universities, in one of the specified fields of study.",,1.0,"National Overseas Scholarship For Students With Disabilities. A scholarship scheme by the Ministry of Social Justice & Empowerment for regular, full-time students with disabilities to obtain higher education viz., Master's degree, or Ph.D. courses from foreign universities, in one of the specified fields of study. Category: Education & Learning, Social welfare & Empowerment. Tags: Scholarship, Student, Person With Disability, Higher Education, Degree, Empowerment, PhD, Post-Graduation."
rmewf,RMEWF-Financial Assistance For Medical Treatment Of Ex-Servicemen,RMEWF,Central,Individual,Ministry Of Defence,All,Health & Wellness,Ex-Servicemen;Health Checkup;Medical Expenses;Health Treatment;Widow Of Ex-Servicemen,A scheme to provide financial assistance to a non-pensioner Ex-Servicemen/widows of ranks up to Havildar/equivalent to meet routine medical expenses.,,1.0,"RMEWF-Financial Assistance For Medical Treatment Of Ex-Servicemen. A scheme to provide financial assistance to a non-pensioner Ex-Servicemen/widows of ranks up to Havildar/equivalent to meet routine medical expenses. Category: Health & Wellness. Tags: Ex-Servicemen, Health Checkup, Medical Expenses, Health Treatment, Widow Of Ex-Servicemen."
wos-c,Women Scientist Scheme-C,WOS-C,Central,Individual,Ministry Of Science And Technology,All,"Skills & Employment;Social welfare & Empowerment;Science, IT & Communications;Women and Child",Women;Scientist;Science;Technology;Post-graduation;Skill,"A scheme by MoST for female candidates with a break in their career interested in addressing societal challenges through viable S&T interventions. 1-year training is provided in Intellectual Property Rights (IPRs), patent search, know-how, drafting, filing, trademarks, trade secrets, and copyright.",,1.0,"Women Scientist Scheme-C. A scheme by MoST for female candidates with a break in their career interested in addressing societal challenges through viable S&T interventions. 1-year training is provided in Intellectual Property Rights (IPRs), patent search, know-how, drafting, filing, trademarks, trade secrets, and copyright. Category: Skills & Employment, Social welfare & Empowerment, Science, IT & Communications, Women and Child. Tags: Women, Scientist, Science, Technology, Post-graduation, Skill."
sui,Stand-Up India,SUPI,Central,Individual,Ministry Of Finance,All,"Business & Entrepreneurship;Banking,Financial Services and Insurance;Social welfare & Empowerment",Loan;Entrepreneur;Finance;Business,"A scheme by Ministry of Finance for financing SC/ST and Women Entrepreneurs by facilitating bank loans for setting up a greenfield project Enterprise in manufacturing, services, trading sector and activities allied to agriculture.",2025-03-31,1.0,"Stand-Up India. A scheme by Ministry of Finance for financing SC/ST and Women Entrepreneurs by facilitating bank loans for setting up a greenfield project Enterprise in manufacturing, services, trading sector and activities allied to agriculture. Category: Business & Entrepreneurship, Banking,Financial Services and Insurance, Social welfare & Empowerment. Tags: Loan, Entrepreneur, Finance, Business."
pmsby,Pradhan Mantri Suraksha Bima Yojana,PMSBY,Central,Individual,Ministry Of Finance,All,"Banking,Financial Services and Insurance",Bank Account Holders;Insurance;Accident Insurance;Death Insurance,An Accident Insurance Scheme offering accidental death and disability cover for death or disability on account of an accident.,,1.0,"Pradhan Mantri Suraksha Bima Yojana. An Accident Insurance Scheme offering accidental death and disability cover for death or disability on account of an accident. Category: Banking,Financial Services and Insurance. Tags: Bank Account Holders, Insurance, Accident Insurance, Death Insurance."
sfava,Scheme For Financial Assistance For Veteran Artists,Sfava,Central,Individual,Ministry Of Culture,All,Sports & Culture;Social welfare & Empowerment,Artists;Pension;Veteran;Culture;Senior Citizen;Financial Assistance,"A pension scheme by MoC improves the financial and socio-economic status of the old artists and scholars who have contributed significantly in their specialized fields. Still, due to old age, they have to lead a miserable life or are in penury condition.",,1.0,"Scheme For Financial Assistance For Veteran Artists. A pension scheme by MoC improves the financial and socio-economic status of the old artists and scholars who have contributed significantly in their specialized fields. Still, due to old age, they have to lead a miserable life or are in penury condition. Category: Sports & Culture, Social welfare & Empowerment. Tags: Artists, Pension, Veteran, Culture, Senior Citizen, Financial Assistance."
pmkvy-stt,Pradhan Mantri Kaushal Vikas Yojana - Short Term Training,PMKVY -STT,Central,Individual,Ministry Of Skill Development And Entrepreneurship,All,Business & Entrepreneurship;Skills & Employment,Placement;Counselling;Training;Dropout;Unemployed;Skill;Vikas;Kaushal,A skill development scheme by Ministry of Skill Development and Entrepreneurship for school/college dropouts/unemployed aged 15-45 at PMKVY Training Centres (TCs).,,1.0,"Pradhan Mantri Kaushal Vikas Yojana - Short Term Training. A skill development scheme by Ministry of Skill Development and Entrepreneurship for school/college dropouts/unemployed aged 15-45 at PMKVY Training Centres (TCs). Category: Business & Entrepreneurship, Skills & Employment. Tags: Placement, Counselling, Training, Dropout, Unemployed, Skill, Vikas, Kaushal."
rmewf-vocational-training,RMEWF-Financial Assistance For Vocational Training Of Widows Of Ex-Servicemen,RMEWF -VOCATIONAL TRAINING,Central,Individual,Ministry Of Defence,All,Education & Learning;Women and Child,Widows Of Ex-Servicemen;Vocational Training;Grant,A scheme to provide financial assistance to a widow of Ex-Servicemen to settle in life through vocational training.,,1.0,"RMEWF-Financial Assistance For Vocational Training Of Widows Of Ex-Servicemen. A scheme to provide financial assistance to a widow of Ex-Servicemen to settle in life through vocational training. Category: Education & Learning, Women and Child. Tags: Widows Of Ex-Servicemen, Vocational Training, Grant."
rmewf-disabled-child,RMEWF-Financial Assistance To 100% Disabled Child Of Ex-Servicemen,RMEWF-DISABLED CHILD,Central,Individual,Ministry Of Defence,All,Social welfare & Empowerment,Ex-Servicemen;Widow Of Ex-Servicemen;Differently Abled,A scheme to provide financial assistance to Ex-Servicemen or their widows for their 100% disabled child.,,1.0,"RMEWF-Financial Assistance To 100% Disabled Child Of Ex-Servicemen. A scheme to provide financial assistance to Ex-Servicemen or their widows for their 100% disabled child. Category: Social welfare & Empowerment. Tags: Ex-Servicemen, Widow Of Ex-Servicemen, Differently Abled."
famdpwog,Financial Assistance For The Marriage Of Daughters Of Poor Widows And Orphan Girls,FAMDPWOG,State,Individual,Not specified (state scheme),Delhi,Social welfare & Empowerment;Women and Child,Financial Asisstance;Marriage;Widow;Orphan;Girl Child,This is a welfare scheme by the GNCTD to provide financial assistance to poor widows for performing the marriage of their daughters and to provide financial assistance to the guardians including Homes/Institutions or foster parents of an orphan girl or an orphan girl for her marriage.,,1.0,"Financial Assistance For The Marriage Of Daughters Of Poor Widows And Orphan Girls. This is a welfare scheme by the GNCTD to provide financial assistance to poor widows for performing the marriage of their daughters and to provide financial assistance to the guardians including Homes/Institutions or foster parents of an orphan girl or an orphan girl for her marriage. Category: Social welfare & Empowerment, Women and Child. Tags: Financial Asisstance, Marriage, Widow, Orphan, Girl Child."
sjpfsgc,Savitribai Jyotirao Phule Fellowship For Single Girl Child,SJPFSGC,Central,Individual,Ministry of Education,All,Education & Learning;Women and Child,Girl Child;Fellowship;Ph.D.,"Savitribai Jyotirao Phule Fellowship for Single Girl Child (SJSGC) is a Fellowship Scheme by the University Grants Commission (UGC), Department of Higher Education, for pursuing research work leading to the award of a Ph.D. degree. The target group of this scheme is the ‘single girl child'.",,1.0,"Savitribai Jyotirao Phule Fellowship For Single Girl Child. Savitribai Jyotirao Phule Fellowship for Single Girl Child (SJSGC) is a Fellowship Scheme by the University Grants Commission (UGC), Department of Higher Education, for pursuing research work leading to the award of a Ph.D. degree. The target group of this scheme is the ‘single girl child'. Category: Education & Learning, Women and Child. Tags: Girl Child, Fellowship, Ph.D.."
nps-tsep,National Pension Scheme For Traders And Self Employed Persons,NPS-TSEP,Central,Individual,Ministry Of Labour and Employment,All,"Banking,Financial Services and Insurance",Pension;Employment;Self Employment;Traders,A voluntary and contributory pension scheme by the Ministry of Labour and Employment. This scheme is meant for old age protection and social security of Small Scale Traders and Retailers. The beneficiary would receive a minimum assured pension of ₹ 3000/- per month after attaining the age of 60 yrs.,,1.0,"National Pension Scheme For Traders And Self Employed Persons. A voluntary and contributory pension scheme by the Ministry of Labour and Employment. This scheme is meant for old age protection and social security of Small Scale Traders and Retailers. The beneficiary would receive a minimum assured pension of ₹ 3000/- per month after attaining the age of 60 yrs. Category: Banking,Financial Services and Insurance. Tags: Pension, Employment, Self Employment, Traders."
ef,Emeritus Fellowship,EF,Central,Individual,Ministry of Education,All,Education & Learning,Teacher;Fellowship;Research & Teaching,A fellowship scheme by University Grants Commission to provide an opportunity to superannuated teachers to pursue active research in their respective field of specialization in Indian Universities/Colleges/ Institutions.,,1.0,"Emeritus Fellowship. A fellowship scheme by University Grants Commission to provide an opportunity to superannuated teachers to pursue active research in their respective field of specialization in Indian Universities/Colleges/ Institutions. Category: Education & Learning. Tags: Teacher, Fellowship, Research & Teaching."
rgisfm,Research Grant For In-Service Faculty Members,RGISFM,Central,Individual,Ministry of Education,All,Education & Learning,Research;Fellowship;Faculty;UGC,"The scheme ""Research Grant for In-Service Faculty Members"" was introduced by the University Grants Commission (UGC), Department of Higher Education (DoHE). The objective of this research grant is to provide opportunities to regularly appointed faculty members of Universities/ Institutes/ Colleges.",,1.0,"Research Grant For In-Service Faculty Members. The scheme ""Research Grant for In-Service Faculty Members"" was introduced by the University Grants Commission (UGC), Department of Higher Education (DoHE). The objective of this research grant is to provide opportunities to regularly appointed faculty members of Universities/ Institutes/ Colleges. Category: Education & Learning. Tags: Research, Fellowship, Faculty, UGC."
ns-icarif,Netaji Subhas - ICAR International Fellowship,NS-ICARIF,Central,Individual,Ministry Of Agriculture and Farmers Welfare,All,Education & Learning,Fellowship;Agriculture,"Introduced in 2009-10, the “Netaji Subhas - ICAR International Fellowship” is a scheme by to develop competent human resource that are trained in the identified best laboratories in the world (for Indian candidates) and similarly expose overseas candidates to the best Agriculture Universities.",2023-01-31,1.0,"Netaji Subhas - ICAR International Fellowship. Introduced in 2009-10, the “Netaji Subhas - ICAR International Fellowship” is a scheme by to develop competent human resource that are trained in the identified best laboratories in the world (for Indian candidates) and similarly expose overseas candidates to the best Agriculture Universities. Category: Education & Learning. Tags: Fellowship, Agriculture."
icar-es,ICAR Emeritus Scientist,ICAR ES,Central,Individual,Ministry Of Agriculture and Farmers Welfare,All,Skills & Employment,Emeritus;Scientist;Retirement,"The ICAR Emeritus Scientist Scheme is a structural method of tapping the Brain and skill bank of the outstanding superannuated professionals of NARS by allowing them to complete the work in hand for its fruitful conclusion, and utilize their talent in teaching specialized courses.",2021-10-31,1.0,"ICAR Emeritus Scientist. The ICAR Emeritus Scientist Scheme is a structural method of tapping the Brain and skill bank of the outstanding superannuated professionals of NARS by allowing them to complete the work in hand for its fruitful conclusion, and utilize their talent in teaching specialized courses. Category: Skills & Employment. Tags: Emeritus, Scientist, Retirement."
icar-jrf-pgs,ICAR Junior Research Fellowship For Post-Graduate Studies In Agricultural Sciences,ICARJRFPGS,Central,Individual,Ministry Of Agriculture and Farmers Welfare,All,Education & Learning,Research;Fellowship;Agriculture;Agricultural Education;Post-graduate;Agricultural Science,"ICAR awards a certain number of Junior Research Fellowships for Postgraduate Studies (course and research work) leading to a Master’s degree, in different disciplines of agriculture and allied sciences. This is done to encourage talented students to undertake higher agricultural education.",,1.0,"ICAR Junior Research Fellowship For Post-Graduate Studies In Agricultural Sciences. ICAR awards a certain number of Junior Research Fellowships for Postgraduate Studies (course and research work) leading to a Master’s degree, in different disciplines of agriculture and allied sciences. This is done to encourage talented students to undertake higher agricultural education. Category: Education & Learning. Tags: Research, Fellowship, Agriculture, Agricultural Education, Post-graduate, Agricultural Science."
icar-srf-pgs,ICAR Senior Research Fellowship For Post-Graduate Studies In Agricultural Sciences,ICAR-SRF-PGS,Central,Individual,Ministry Of Agriculture and Farmers Welfare,All,Education & Learning,Agriculture;Research;Fellowship,"ICAR awards a certain number of Senior Research Fellowships for Ph.D. in an Agricultural University (AU), in different disciplines of agriculture and allied sciences. This is done to encourage talented students to undertake higher agricultural education.",,1.0,"ICAR Senior Research Fellowship For Post-Graduate Studies In Agricultural Sciences. ICAR awards a certain number of Senior Research Fellowships for Ph.D. in an Agricultural University (AU), in different disciplines of agriculture and allied sciences. This is done to encourage talented students to undertake higher agricultural education. Category: Education & Learning. Tags: Agriculture, Research, Fellowship."
pmrs,Pre-Matric Scholarship,PMRS,Central,Individual,Ministry Of Social Justice and Empowerment,Uttar Pradesh,Education & Learning,Financial Assistance;Education;Student Welfare,The scholarship is designed to provide OBC students with the necessary financial resources studying at pre-matriculation stage to enable them to complete their education.,,1.0,"Pre-Matric Scholarship. The scholarship is designed to provide OBC students with the necessary financial resources studying at pre-matriculation stage to enable them to complete their education. Category: Education & Learning. Tags: Financial Assistance, Education, Student Welfare."
ip-mea,Internship Programme By The Ministry Of External Affairs,IP-MEA,Central,Individual,Ministry Of External Affairs,All,Education & Learning,Internship,The Ministry of External Affairs launched the first edition of the Internship Programme in 2022. The internship policy aims to take foreign policy closer to the people. A total of 75 internships will be offered in the year 2022 in a single term of three months during April to June 2022.,,1.0,Internship Programme By The Ministry Of External Affairs. The Ministry of External Affairs launched the first edition of the Internship Programme in 2022. The internship policy aims to take foreign policy closer to the people. A total of 75 internships will be offered in the year 2022 in a single term of three months during April to June 2022. Category: Education & Learning. Tags: Internship.
post-st,Post Matric Scholarship Scheme For The Students Belonging To Scheduled Tribe For Studies In India,POST-ST,Central,Individual,Ministry Of Tribal Affairs,All,Education & Learning,Scholarship;Scheduled Tribe Students;Post Matric;Education;Study,"This is a centrally sponsored scheme by the Ministry of Tribal Affairs, for the students of Scheduled Tribe (ST) for studies in India. This scheme is for pursuing higher education starting from class XI to Post Graduation courses in India.",,1.0,"Post Matric Scholarship Scheme For The Students Belonging To Scheduled Tribe For Studies In India. This is a centrally sponsored scheme by the Ministry of Tribal Affairs, for the students of Scheduled Tribe (ST) for studies in India. This scheme is for pursuing higher education starting from class XI to Post Graduation courses in India. Category: Education & Learning. Tags: Scholarship, Scheduled Tribe Students, Post Matric, Education, Study."
pm-daksh,Pradhan Mantri Dakshta Aur Kushalta Sampann Hitgrahi (PM-DAKSH),PM-DAKSH,Central,Individual,Ministry Of Social Justice and Empowerment,All,Skills & Employment,Skill;Training;Employment;Stipend;Scheduled Caste;Other Backward Class;Economically Weaker Section,"The scheme ""PM-DAKSH"", launched by the Ministry of Social Justice & Empowerment (MoSJ&E), aims to empower socially, educationally, and economically marginalized groups like SCs, OBCs, EWS, DNTs, Safai Mitras, and Waste Pickers by enhancing their skills through high-quality training.",,1.0,"Pradhan Mantri Dakshta Aur Kushalta Sampann Hitgrahi (PM-DAKSH). The scheme ""PM-DAKSH"", launched by the Ministry of Social Justice & Empowerment (MoSJ&E), aims to empower socially, educationally, and economically marginalized groups like SCs, OBCs, EWS, DNTs, Safai Mitras, and Waste Pickers by enhancing their skills through high-quality training. Category: Skills & Employment. Tags: Skill, Training, Employment, Stipend, Scheduled Caste, Other Backward Class, Economically Weaker Section."
us,Udyogini Scheme,US,State,Individual,Not specified (state scheme),Karnataka,Social welfare & Empowerment;Business & Entrepreneurship;Women and Child,Entrepreneurship;Loan;Social Welfare;Citizen Empowerment;Women;Subsidy,"Udyogini is an innovative scheme to assist women in gaining self-reliance and economic independence through self-employment, mainly through trade and the service sector. It also provides for a subsidy on loans for undertaking business activities/ micro enterprises through banks, etc.",,1.0,"Udyogini Scheme. Udyogini is an innovative scheme to assist women in gaining self-reliance and economic independence through self-employment, mainly through trade and the service sector. It also provides for a subsidy on loans for undertaking business activities/ micro enterprises through banks, etc. Category: Social welfare & Empowerment, Business & Entrepreneurship, Women and Child. Tags: Entrepreneurship, Loan, Social Welfare, Citizen Empowerment, Women, Subsidy."
scossi,Scholarship For Cadets Of Sainik School Imphal,SCOSSI,State,Individual,Not specified (state scheme),Mizoram,Education & Learning;Social welfare & Empowerment,Scholarship;Sainik School;Direct Benefit Transfer;Financial Assistance;Sainik School Imphal,"The objective of the Scheme is to provide financial assistance to Mizo students permanently residing in the States of studying at Sainik School Imphal, to enable them to qualify and joint National Defence Academy and further to the Armed Forces.",,1.0,"Scholarship For Cadets Of Sainik School Imphal. The objective of the Scheme is to provide financial assistance to Mizo students permanently residing in the States of studying at Sainik School Imphal, to enable them to qualify and joint National Defence Academy and further to the Armed Forces. Category: Education & Learning, Social welfare & Empowerment. Tags: Scholarship, Sainik School, Direct Benefit Transfer, Financial Assistance, Sainik School Imphal."
sss,Shrama Shakthi Scheme,SSS,State,Individual,Not specified (state scheme),Karnataka,Business & Entrepreneurship,Artisans;Loan;Minority;Karnataka;Government Scheme For Minorities,"Under the Shrama Shakthi Loan scheme, religious minority community entrepreneurs will be trained in artistic and technical skills and will be provided a loan of ₹50,000/- with a 4% rate of interest, to be paid in 36 installments.",,1.0,"Shrama Shakthi Scheme. Under the Shrama Shakthi Loan scheme, religious minority community entrepreneurs will be trained in artistic and technical skills and will be provided a loan of ₹50,000/- with a 4% rate of interest, to be paid in 36 installments. Category: Business & Entrepreneurship. Tags: Artisans, Loan, Minority, Karnataka, Government Scheme For Minorities."
syss,Skilled Youth Startup Scheme,SYSS,State,Individual,Not specified (state scheme),Sikkim,"Business & Entrepreneurship;Agriculture,Rural & Environment;Skills & Employment",Business;StartUp;Employment;Entrepreneurship;Youth,Sikkim Skilled Youth Startup Scheme was launched in 2020 and is implemented by the Department of Commerce & Industries which aims at assisting the educated unemployed youth in setting up a myriad of enterprises through loans with back-ended financial subsidy assistance.,,1.0,"Skilled Youth Startup Scheme. Sikkim Skilled Youth Startup Scheme was launched in 2020 and is implemented by the Department of Commerce & Industries which aims at assisting the educated unemployed youth in setting up a myriad of enterprises through loans with back-ended financial subsidy assistance. Category: Business & Entrepreneurship, Agriculture,Rural & Environment, Skills & Employment. Tags: Business, StartUp, Employment, Entrepreneurship, Youth."
oasas,Old Age Samman Allowance,OASAS,State,Individual,Not specified (state scheme),Haryana,Social welfare & Empowerment,Social Welfare;Financial Assistance;Social Security;Pension;Senior Citizen;Old Age,"""Old Age Samman Allowance"" is a social security scheme implemented by the Department of Social Justice and Empowerment, Government of Haryana. The scheme provides a pension of ₹ 3000/month to senior citizens (60 years of age or older) who are unable to sustain themselves with their own resource",,1.0,"Old Age Samman Allowance. ""Old Age Samman Allowance"" is a social security scheme implemented by the Department of Social Justice and Empowerment, Government of Haryana. The scheme provides a pension of ₹ 3000/month to senior citizens (60 years of age or older) who are unable to sustain themselves with their own resource Category: Social welfare & Empowerment. Tags: Social Welfare, Financial Assistance, Social Security, Pension, Senior Citizen, Old Age."
rcmrf-mh,Rajasthan Chief Minister's Relief Fund - Medical Help,RCMRF-MH,State,Individual,Not specified (state scheme),Rajasthan,Health & Wellness,Medical Help;Non BPL;Relief Fund;Rajasthan Scheme;Hospital,Rajasthan Chief Minister’s Relief Fund – medical help scheme launched on April 1999 under Chief Minister’s Relief Fund in Rajasthan for Individual for Non BPL whose family income should be at least 2lakhs per annum.,,1.0,"Rajasthan Chief Minister's Relief Fund - Medical Help. Rajasthan Chief Minister’s Relief Fund – medical help scheme launched on April 1999 under Chief Minister’s Relief Fund in Rajasthan for Individual for Non BPL whose family income should be at least 2lakhs per annum. Category: Health & Wellness. Tags: Medical Help, Non BPL, Relief Fund, Rajasthan Scheme, Hospital."
kbpyy,Krishak Bakri Palan Yojna,KBPYY,State,Individual,Not specified (state scheme),Himachal Pradesh,"Agriculture,Rural & Environment;Skills & Employment",Goat Farming Scheme;Animal Husbandry;Financial Assistance;Rural Development,"The Department of Animal Husbandry, Government of Himachal Pradesh has introduced a scheme named ""Krishak Bakri Palan Yojna"" with the aim to increase income generation opportunities for economically weaker segments of the society as well as to increase meat production.",,1.0,"Krishak Bakri Palan Yojna. The Department of Animal Husbandry, Government of Himachal Pradesh has introduced a scheme named ""Krishak Bakri Palan Yojna"" with the aim to increase income generation opportunities for economically weaker segments of the society as well as to increase meat production. Category: Agriculture,Rural & Environment, Skills & Employment. Tags: Goat Farming Scheme, Animal Husbandry, Financial Assistance, Rural Development."
mmuy,Mukhyamantri Mahila Utkarsh Yojana,MMUY,State,Individual,Not specified (state scheme),Gujarat,Social welfare & Empowerment;Women and Child,Mukhyamantri;Mahila;Utkarsh Yojana,Mukhyamantri Mahila Utkarsh Yojana is a scheme launched by the Government of Gujarat to empower women in the state. The scheme aims to provide financial assistance to women entrepreneurs and to promote their entrepreneurial spirit.,,1.0,"Mukhyamantri Mahila Utkarsh Yojana. Mukhyamantri Mahila Utkarsh Yojana is a scheme launched by the Government of Gujarat to empower women in the state. The scheme aims to provide financial assistance to women entrepreneurs and to promote their entrepreneurial spirit. Category: Social welfare & Empowerment, Women and Child. Tags: Mukhyamantri, Mahila, Utkarsh Yojana."
icdss,Integrated Child Development Services Scheme,ICDSS,State,Individual,Not specified (state scheme),Nagaland,Social welfare & Empowerment;Health & Wellness,Integrated Child Development Services;Nagaland,"In Nagaland, the ICDS programme was launched in the year 1975 in the Jalukie block of Peren district with 50 Anganwadi centres. The programme has since grown and at present, there are 60 (sixty) ICDS projects in 11 (Eleven) districts of the State.",,1.0,"Integrated Child Development Services Scheme. In Nagaland, the ICDS programme was launched in the year 1975 in the Jalukie block of Peren district with 50 Anganwadi centres. The programme has since grown and at present, there are 60 (sixty) ICDS projects in 11 (Eleven) districts of the State. Category: Social welfare & Empowerment, Health & Wellness. Tags: Integrated Child Development Services, Nagaland."
amcsy,Dr. Ambedkar Medhavi Chattar Sansodhit Yojna,AMCSY,State,Individual,Not specified (state scheme),Haryana,Social welfare & Empowerment,"Social Welfare;Financial Assistance,;The Scheme Of Masses;Parity Among Students;Education","This scheme is being implemented to encourage the merit amongst the students of Scheduled Castes, Backward Classes, Nomadic, DNTs, Semi-Nomadic, Vimukt Jaati and Tapriwas Jaati and to produce a feeling of competition amongst them and motivate them to earn more and more marks from the middle to post.",,1.0,"Dr. Ambedkar Medhavi Chattar Sansodhit Yojna. This scheme is being implemented to encourage the merit amongst the students of Scheduled Castes, Backward Classes, Nomadic, DNTs, Semi-Nomadic, Vimukt Jaati and Tapriwas Jaati and to produce a feeling of competition amongst them and motivate them to earn more and more marks from the middle to post. Category: Social welfare & Empowerment. Tags: Social Welfare, Financial Assistance,, The Scheme Of Masses, Parity Among Students, Education."
cpy,Chikitsa Pratipoorti Yojana,CPY,State,Individual,Not specified (state scheme),Jharkhand,Health & Wellness;Social welfare & Empowerment,Health;Disease;Financial Assistance;Construction Worker,"""Chikitsa Pratipoorti Yojana"" is a scheme by the Department of Labour, Employment, Training & Skill Development Govt of Jharkhand. The scheme provides financial assistance to the Registered Workers for the treatment of serious illnesses (cancer, heart disease, kidney disease, etc.",,1.0,"Chikitsa Pratipoorti Yojana. ""Chikitsa Pratipoorti Yojana"" is a scheme by the Department of Labour, Employment, Training & Skill Development Govt of Jharkhand. The scheme provides financial assistance to the Registered Workers for the treatment of serious illnesses (cancer, heart disease, kidney disease, etc. Category: Health & Wellness, Social welfare & Empowerment. Tags: Health, Disease, Financial Assistance, Construction Worker."
aag,Aponar Apon Ghar,AAG,State,Individual,Not specified (state scheme),Assam,"Banking,Financial Services and Insurance",Loan;Subsidy,"""Aponar Apon Ghar"" is a Home Loan Subsidy Scheme by the Finance Department, Govt. of Assam. The objective is to realize the vision of “Housing For All” by 2022 so that each poor person may have their own house. All the applicants will get home loans at subsidized interest rates.",,1.0,"Aponar Apon Ghar. ""Aponar Apon Ghar"" is a Home Loan Subsidy Scheme by the Finance Department, Govt. of Assam. The objective is to realize the vision of “Housing For All” by 2022 so that each poor person may have their own house. All the applicants will get home loans at subsidized interest rates. Category: Banking,Financial Services and Insurance. Tags: Loan, Subsidy."
wbkanyashree,Kanyashree Prakalpa,WBKANYASHREE,State,Individual,Not specified (state scheme),West Bengal,Social welfare & Empowerment;Education & Learning;Women and Child,Girl;Education;Scholarship;Child Marriage Prevention;Vocational Training;Grants For Higher Education,"The scheme to improve the status and wellbeing of girls, specifically those from socio-economically disadvantaged families, through Conditional Cash Transfers by: Incentivising them to continue in education for a longer period of time, and complete secondary or higher secondary education.",,1.0,"Kanyashree Prakalpa. The scheme to improve the status and wellbeing of girls, specifically those from socio-economically disadvantaged families, through Conditional Cash Transfers by: Incentivising them to continue in education for a longer period of time, and complete secondary or higher secondary education. Category: Social welfare & Empowerment, Education & Learning, Women and Child. Tags: Girl, Education, Scholarship, Child Marriage Prevention, Vocational Training, Grants For Higher Education."
ignoaps-sikkim,Indira Gandhi National Old Age Pension Scheme - Sikkim,IGNOAPS-SIKKIM,State,Individual,Not specified (state scheme),Sikkim,"Social welfare & Empowerment;Banking,Financial Services and Insurance",Old Age;Pension;Below Poverty Line;Direct Benefit Transfer,"The scheme “Indira Gandhi National Old Age Pension Scheme (IGNOAPS)” was started by the Department of Women & Child Welfare, Govt. of Sikkim in 2014. Under this scheme, a pension is provided to elderly citizens above the age of 60 years belonging to the Below Poverty Line (BPL) category.",,1.0,"Indira Gandhi National Old Age Pension Scheme - Sikkim. The scheme “Indira Gandhi National Old Age Pension Scheme (IGNOAPS)” was started by the Department of Women & Child Welfare, Govt. of Sikkim in 2014. Under this scheme, a pension is provided to elderly citizens above the age of 60 years belonging to the Below Poverty Line (BPL) category. Category: Social welfare & Empowerment, Banking,Financial Services and Insurance. Tags: Old Age, Pension, Below Poverty Line, Direct Benefit Transfer."
