scheme_id,scheme_name,short_title,level,scheme_for,ministry,state,category,tags,description,close_date,priority,search_text
scheme-of-grant-in-aid,"Scheme of Grants-in-Aid for supporting professional associations/ organisations of social scientists, companies and trusts duly registered under the Companies Act for their development",PUBLICATION GRANT FOR MAINTENANCE & DEVELOPMENT ,Central,Infra,Ministry of Education,All,Education & Learning,ICSSR Grants;Maintenance And Development Grants;Research Promotion;Social Science Institutions;Social Scientists,"The Indian Council of Social Science Research (ICSSR), under the Ministry of Education, Government of India, provides Grants-in-Aid for supporting professional associations/ organisations of social scientists, companies and trusts for their development.",,3.0,"Scheme of Grants-in-Aid for supporting professional associations/ organisations of social scientists, companies and trusts duly registered under the Companies Act for their development. The Indian Council of Social Science Research (ICSSR), under the Ministry of Education, Government of India, provides Grants-in-Aid for supporting professional associations/ organisations of social scientists, companies and trusts for their development. Category: Education & Learning. Tags: ICSSR Grants, Maintenance And Development Grants, Research Promotion, Social Science Institutions, Social Scientists."
ascfpssguj,Assistance to Scheduled Castes for Fisheries: Prawn Seed Stocking Gujarat,ASCFPSSGUJ,State,Infra,Not specified (state scheme),Gujarat,"Agriculture,Rural & Environment",Fish Production;Fish Farming;Fishermen;Fish Farmer;Prawn Seed Stocking,The scheme aims to increase fish production by rearing fish in reservoirs and to provide employment to Scheduled Caste (SC) individuals involved in inland fisheries activities.,,3.0,"Assistance to Scheduled Castes for Fisheries: Prawn Seed Stocking Gujarat. The scheme aims to increase fish production by rearing fish in reservoirs and to provide employment to Scheduled Caste (SC) individuals involved in inland fisheries activities. Category: Agriculture,Rural & Environment. Tags: Fish Production, Fish Farming, Fishermen, Fish Farmer, Prawn Seed Stocking."
gputpuk,"Grants Provisioned under Uttarakhand Tourism Policy, 2023",GPUTPUK,State,Infra,Not specified (state scheme),Uttarakhand,Business & Entrepreneurship,Tourism Policy;Tourism Sector;Capital Subsidy;Investment;Tourism;Interest Subsidy,The aims to promote sustainable tourism development in the state by encouraging private and institutional investment in the tourism sector through targeted financial incentives and subsidies.,,3.0,"Grants Provisioned under Uttarakhand Tourism Policy, 2023. The aims to promote sustainable tourism development in the state by encouraging private and institutional investment in the tourism sector through targeted financial incentives and subsidies. Category: Business & Entrepreneurship. Tags: Tourism Policy, Tourism Sector, Capital Subsidy, Investment, Tourism, Interest Subsidy."
eadp,Entrepreneurship and Development Programme,EDP,State,Infra,Not specified (state scheme),Uttarakhand,"Science, IT & Communications;Business & Entrepreneurship",Entrepreneur;Scientist;Researcher;Teacher;UCOST;NGO,"Under this scheme, interested entrepreneurs, NGOs, scientists, researchers, and teachers from across the state are provided support to convert natural resources into viable business opportunities by enhancing technology and value addition.",,3.0,"Entrepreneurship and Development Programme. Under this scheme, interested entrepreneurs, NGOs, scientists, researchers, and teachers from across the state are provided support to convert natural resources into viable business opportunities by enhancing technology and value addition. Category: Science, IT & Communications, Business & Entrepreneurship. Tags: Entrepreneur, Scientist, Researcher, Teacher, UCOST, NGO."
pdduvgsp,Pandit Deen Dayal Upadhyay Vigyaan Gram Sankul Pariyojana,PDDUVGSP,State,Infra,Not specified (state scheme),Uttarakhand,"Transport & Infrastructure;Science, IT & Communications",Farmer;UCOST;Entrepreneur;Self-help Group;Rural Development;Science,"The project aims to promote sustainable rural development through the application of science & technology to enhance livelihoods in selected villages throughout Uttarakhand. Under the project, rural development initiatives are implemented through the formation of village clusters across the state.",,3.0,"Pandit Deen Dayal Upadhyay Vigyaan Gram Sankul Pariyojana. The project aims to promote sustainable rural development through the application of science & technology to enhance livelihoods in selected villages throughout Uttarakhand. Under the project, rural development initiatives are implemented through the formation of village clusters across the state. Category: Transport & Infrastructure, Science, IT & Communications. Tags: Farmer, UCOST, Entrepreneur, Self-help Group, Rural Development, Science."
spfarogongoirrfhwhpwd,Scheme to Provide Financial Assistance to Registered Organizations/Government Organization/Non-Government Organizations/Institutions for Running Residential Facilities/Half Way Homes for Persons with Disabilities,SPFAROGONGOIRRFHWHPWD,State,Infra,Not specified (state scheme),Goa,Social welfare & Empowerment,Disability;Grant;NGO;Institution;PwD;Shelter,"The scheme aims to provide financial assistance to registered organizations, Government organizations, and institutions for running residential facilities or halfway homes for Persons with Disabilities. The scheme provides financial support in the form of operational grants.",,3.0,"Scheme to Provide Financial Assistance to Registered Organizations/Government Organization/Non-Government Organizations/Institutions for Running Residential Facilities/Half Way Homes for Persons with Disabilities. The scheme aims to provide financial assistance to registered organizations, Government organizations, and institutions for running residential facilities or halfway homes for Persons with Disabilities. The scheme provides financial support in the form of operational grants. Category: Social welfare & Empowerment. Tags: Disability, Grant, NGO, Institution, PwD, Shelter."
pmjvk,Pradhan Mantri Jan vikas karyakram,PMJVK,Central,Infra,Ministry Of Minority Affairs,All,Social welfare & Empowerment,Ministry Of Minority Affairs;Minority Development;Infrastructure Development;Skill Development;Women-centric & Community Facilities;Hostel Construction;Minority Concentrated Areas;Area Development Programme;Social Welfare;Minority Heritage Language Preservation;Sports Complexes,"The Pradhan Mantri Jan Vikas Karyakram (PMJVK) is a Centrally Sponsored Scheme, being implemented with the objective to develop infrastructure projects such as community assets , in the identified areas with development deficits for socio-economic development of the said areas.",,3.0,"Pradhan Mantri Jan vikas karyakram. The Pradhan Mantri Jan Vikas Karyakram (PMJVK) is a Centrally Sponsored Scheme, being implemented with the objective to develop infrastructure projects such as community assets , in the identified areas with development deficits for socio-economic development of the said areas. Category: Social welfare & Empowerment. Tags: Ministry Of Minority Affairs, Minority Development, Infrastructure Development, Skill Development, Women-centric & Community Facilities, Hostel Construction, Minority Concentrated Areas, Area Development Programme, Social Welfare, Minority Heritage Language Preservation, Sports Complexes."
dpitda,Drone Policy 2023 - Information Technology Development Agency,DPITDA,State,Infra,Not specified (state scheme),Uttarakhand,"Science, IT & Communications",Drone;Drone Technology;Drone Manufacturer;Drone Investor;Drone Startup,"The policy aims to promote the use, innovation, and development of drone technology for improving service delivery and governance in Uttarakhand, while strengthening the drone ecosystem through collaboration among industry, academia, and government.",,3.0,"Drone Policy 2023 - Information Technology Development Agency. The policy aims to promote the use, innovation, and development of drone technology for improving service delivery and governance in Uttarakhand, while strengthening the drone ecosystem through collaboration among industry, academia, and government. Category: Science, IT & Communications. Tags: Drone, Drone Technology, Drone Manufacturer, Drone Investor, Drone Startup."
ukdwpsua,World Bank-funded Uttarakhand Drinking Water Programme (For Semi-Urban Areas),WBFUKDWPSUA,State,Infra,Not specified (state scheme),Uttarakhand,Utility & Sanitation,Drinking Water;Water Supply;Potable Water;Semi-Urban Area;Water Connection;World Bank,"The scheme aims to provide affordable and reliable domestic drinking water connections to eligible households in selected semi-urban areas of Uttarakhand, ensuring improved access to safe and adequate drinking water.",,3.0,"World Bank-funded Uttarakhand Drinking Water Programme (For Semi-Urban Areas). The scheme aims to provide affordable and reliable domestic drinking water connections to eligible households in selected semi-urban areas of Uttarakhand, ensuring improved access to safe and adequate drinking water. Category: Utility & Sanitation. Tags: Drinking Water, Water Supply, Potable Water, Semi-Urban Area, Water Connection, World Bank."
sbmgwmuk,Swachh Bharat Mission (Grameen - Waste Management) - Uttarakhand,SBMGWMUK,State,Infra,Not specified (state scheme),Uttarakhand,Utility & Sanitation;Transport & Infrastructure,Waste Management;Solid Waste;Liquid Waste;Sanitation,"The scheme aims to promote sustainable solid and liquid waste management in rural Uttarakhand by providing necessary infrastructure and facilities to ensure cleaner villages, improved sanitation, and better public health.",,3.0,"Swachh Bharat Mission (Grameen - Waste Management) - Uttarakhand. The scheme aims to promote sustainable solid and liquid waste management in rural Uttarakhand by providing necessary infrastructure and facilities to ensure cleaner villages, improved sanitation, and better public health. Category: Utility & Sanitation, Transport & Infrastructure. Tags: Waste Management, Solid Waste, Liquid Waste, Sanitation."
